nan,402,411,419,427,434,441,449,456,464,471,478,485,493,500,507,515,523,530,538,546,554,563,571,579,588,596,605,614,623,632,641,651,660,670,679,689,699,709,719,729,739,749,760,770,781,791,802,812,823,833,844,855,866,876,887,898,908,919,929,940,943,951,959,969
300,1.17024907152794E-96,1.39230894763182E-132,3.88029267759867E-176,5.05594458292119E-218,1.8930404881087E-252,1.0282182567193E-282,5.77965e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.1,1.80265344294426E-96,2.40448819720577E-132,7.64085784368605E-176,1.11298721781116E-217,4.49166892610799E-252,2.57406531389924E-282,1.541863e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.2,2.7756359394009E-96,4.15045761590538E-132,1.50373982392612E-175,2.44854232927085E-217,1.06506391171348E-251,6.43979422255379E-282,4.110596e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.3,4.27197875893129E-96,7.16070223949354E-132,2.95771435404851E-175,5.38337488387481E-217,2.52385091991825E-251,1.61006197696701E-281,1.0951604e-316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.4,6.57221844242023E-96,1.23481400048991E-131,5.81423662642982E-175,1.18285415485882E-216,5.97684266961574E-251,4.02282716109346E-281,2.91584283e-316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.5,1.01067428878424E-95,2.12830454751102E-131,1.14230511692945E-174,2.59739107246676E-216,1.41449053761092E-250,1.00447314363381E-280,7.7582543e-316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.6,1.55355548266078E-95,3.66650514862074E-131,2.24297528309375E-174,5.69997637067576E-216,3.34540241521752E-250,2.50647548669171E-280,2.062896747e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.7,2.38703419842734E-95,6.3133101261578E-131,4.40169351087074E-174,1.25008152040923E-215,7.90709183086343E-250,6.25038500785702E-280,5.48156496e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.8,3.66612135559683E-95,1.08654632192033E-130,8.6331255541512E-174,2.73989035207749E-215,1.86769216122778E-249,1.55764416915118E-279,1.4556106485e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.9,5.62822376009898E-95,1.8690704296978E-130,1.69226846146713E-173,6.00146944128501E-215,4.40873409997442E-249,3.87925129580804E-279,3.8627755103e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,8.63678674464426E-95,3.21358199443116E-130,3.31530440184581E-173,1.31374653348787E-214,1.0400222095369E-248,9.65485487398529E-279,1.0243946521e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.1,1.32479707351523E-94,5.52254676671601E-130,6.49128243839434E-173,2.87405539908797E-214,2.45183600271997E-248,2.40138482792847E-278,2.7148680258e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.2,2.03124751252525E-94,9.48583830356403E-130,1.2702539307584E-172,6.28359601027957E-214,5.7764406971323E-248,5.96892264702493E-278,7.19024568225e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.3,3.11309701870211E-94,1.62853962663092E-129,2.48429711555477E-172,1.37293805660913E-213,1.3600325957522E-247,1.48268302431571E-277,1.903059314266e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.4,4.76912589732954E-94,2.79452012700015E-129,4.85589702833804E-172,2.99794181492054E-213,3.20006214379757E-247,3.6806019826168E-277,5.03355138267e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.5,7.30299900801287E-94,4.79294506578041E-129,9.48611419341259E-172,6.542218185568E-213,7.52467252602777E-247,9.13077355442384E-277,1.3304858962955e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.6,1.11784095916223E-93,8.2164451231806E-129,1.85208184242898E-171,1.42677803962579E-212,1.76822242080472E-246,2.26367703491885E-276,3.5144683078096e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.7,1.71031111602677E-93,1.4078350220729E-128,3.61397334951034E-171,3.1096920015641E-212,4.15246785211905E-246,5.60840714146672E-276,9.277320808829e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.8,2.61569161842553E-93,2.41104806718105E-128,7.04794754689138E-171,6.77341842848999E-212,9.74531231089475E-246,1.38861796134006E-275,2.4473670310542e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.9,3.99865822739537E-93,4.12711215152039E-128,1.37370451889376E-170,1.47444304585775E-211,2.28562691381643E-245,3.43592914452505E-275,6.45192370340455e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,6.11024118919445E-93,7.06110989884879E-128,2.67594348182422E-170,3.20758124891166E-211,5.35716494025214E-245,8.49618178766558E-275,1.699780833979157e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302.1,9.33294580179516E-93,1.20749674641009E-127,5.20970932010542E-170,6.97359784135644E-211,1.25482970645987E-244,2.09952750807506E-274,4.47517703283213e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302.2,1.42493632172629E-92,2.06388391184659E-127,1.01368493870333E-169,1.51518512871022E-210,2.93734299313253E-244,5.18486577826841E-274,1.1774462735583213e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
